Number,Province/State,Country,Lat,Long,Date,Corona_Confirmed,Sars_Confirmed,Deaths,Recovered,FILE
1,Alabama,United States,32.3182,-86.9023,1/22/2020,0,0,0,0,CORONA
1,Alaska,United States,61.3707,-152.4044,1/22/2020,0,0,0,0,CORONA
1,Alberta,Canada,53.9333,-116.5765,1/22/2020,0,0,0,0,CORONA
1,Anhui,China,31.8257,117.2264,1/22/2020,1,0,0,0,CORONA
1,Arizona,United States,33.7298,-111.4312,1/22/2020,0,0,0,0,CORONA
1,Arkansas,United States,34.9697,-92.3731,1/22/2020,0,0,0,0,CORONA
1,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/2020,0,0,0,0,CORONA
1,Beijing,China,40.1824,116.4142,1/22/2020,14,0,0,0,CORONA
1,British Columbia,Canada,49.2827,-123.1207,1/22/2020,0,0,0,0,CORONA
1,California,United States,36.1162,-119.6816,1/22/2020,0,0,0,0,CORONA
1,Channel Islands,United Kingdom,49.3723,-2.3644,1/22/2020,0,0,0,0,CORONA
1,Chongqing,China,30.0572,107.874,1/22/2020,6,0,0,0,CORONA
1,Colorado,United States,39.0598,-105.3111,1/22/2020,0,0,0,0,CORONA
1,Connecticut,United States,41.5978,-72.7554,1/22/2020,0,0,0,0,CORONA
1,Delaware,United States,39.3185,-75.5071,1/22/2020,0,0,0,0,CORONA
1,Denmark,Denmark,56.2639,9.5018,1/22/2020,0,0,0,0,CORONA
1,Diamond Princess,United States,35.4437,139.638,1/22/2020,0,0,0,0,CORONA
1,Diamond Princess,Cruise Ship,35.4437,139.638,1/22/2020,0,0,0,0,CORONA
1,District of Columbia,United States,38.8974,-77.0268,1/22/2020,0,0,0,0,CORONA
1,Faroe Islands,Denmark,61.8926,-6.9118,1/22/2020,0,0,0,0,CORONA
1,Florida,United States,27.7663,-81.6868,1/22/2020,0,0,0,0,CORONA
1,France,France,46.2276,2.2137,1/22/2020,0,0,0,0,CORONA
1,French Polynesia,France,-17.6797,149.4068,1/22/2020,0,0,0,0,CORONA
1,From Diamond Princess,Australia,35.4437,139.638,1/22/2020,0,0,0,0,CORONA
1,Fujian,China,26.0789,117.9874,1/22/2020,1,0,0,0,CORONA
1,Gansu,China,37.8099,101.0583,1/22/2020,0,0,0,0,CORONA
1,Georgia,United States,33.0406,-83.6431,1/22/2020,0,0,0,0,CORONA
1,Gibraltar,United Kingdom,36.1408,-5.3536,1/22/2020,0,0,0,0,CORONA
1,Grand Princess,United States,37.6489,-122.6655,1/22/2020,0,0,0,0,CORONA
1,Grand Princess,Canada,37.6489,-122.6655,1/22/2020,0,0,0,0,CORONA
1,Guangdong,China,23.3417,113.4244,1/22/2020,26,0,0,0,CORONA
1,Guangxi,China,23.8298,108.7881,1/22/2020,2,0,0,0,CORONA
1,Guizhou,China,26.8154,106.8748,1/22/2020,1,0,0,0,CORONA
1,Hainan,China,19.1959,109.7453,1/22/2020,4,0,0,0,CORONA
1,Hawaii,United States,21.0943,-157.4983,1/22/2020,0,0,0,0,CORONA
1,Hebei,China,39.549,116.1306,1/22/2020,1,0,0,0,CORONA
1,Heilongjiang,China,47.862,127.7615,1/22/2020,0,0,0,0,CORONA
1,Henan,China,33.882,113.614,1/22/2020,5,0,0,0,CORONA
