Virus,Country/Region,Total Cases,Total Recoveries,Total Deaths
COVID19,China,81251,71266,3253
COVID19,Italy,47021,4440,4032
COVID19,Spain,20410,1588,1043
COVID19,Germany,19848,180,67
COVID19,Iran,19644,6745,1433
COVID19,US,19102,17,244
COVID19,France,12726,12,450
COVID19,"Korea, South",8652,1540,94
COVID19,Switzerland,5294,15,54
COVID19,United Kingdom,4014,67,178
COVID19,Netherlands,3003,2,107
COVID19,Austria,2388,9,6
COVID19,Belgium,2257,31,37
COVID19,Norway,1914,1,7
COVID19,Sweden,1639,16,16
COVID19,Denmark,1337,1,9
COVID19,Malaysia,1030,87,3
COVID19,Portugal,1020,5,6
COVID19,Japan,963,191,33
COVID19,Canada,943,9,12
COVID19,Czechia,833,4,0
COVID19,Australia,799,26,7
COVID19,Brazil,793,2,11
COVID19,Cruise Ship,712,325,7
COVID19,Israel,705,14,0
COVID19,Ireland,683,5,3
COVID19,Pakistan,501,13,3
COVID19,Greece,495,19,6
COVID19,Luxembourg,484,0,4
COVID19,Qatar,470,10,0
COVID19,Finland,450,10,0
COVID19,Chile,434,6,0
COVID19,Poland,425,13,5
COVID19,Iceland,409,8,5
COVID19,Singapore,385,124,0
COVID19,Indonesia,369,15,32
COVID19,Ecuador,367,0,5
COVID19,Turkey,359,0,4
COVID19,Saudi Arabia,344,8,0
COVID19,Slovenia,341,0,1
COVID19,Thailand,322,42,1
COVID19,Romania,308,25,0
COVID19,Bahrain,285,100,1
COVID19,Egypt,285,39,8
COVID19,Estonia,283,1,0
COVID19,Russia,253,9,1
COVID19,India,244,20,5
COVID19,Peru,234,1,3
COVID19,Philippines,230,8,19
COVID19,Iraq,208,49,17
COVID19,South Africa,202,0,0
COVID19,Mexico,164,4,1
COVID19,Lebanon,163,4,4
COVID19,Kuwait,159,18,0
COVID19,San Marino,144,4,14
COVID19,United Arab Emirates,140,31,2
COVID19,Panama,137,0,1
COVID19,Slovakia,137,0,1
COVID19,Armenia,136,1,0
COVID19,Taiwan*,135,26,2
COVID19,Serbia,135,1,1
COVID19,Croatia,128,5,1
COVID19,Argentina,128,3,3
COVID19,Colombia,128,1,0
COVID19,Bulgaria,127,0,3
COVID19,Latvia,111,1,0
COVID19,Uruguay,94,0,0
COVID19,Vietnam,91,16,0
COVID19,Algeria,90,32,11
COVID19,Bosnia and Herzegovina,89,2,0
COVID19,Costa Rica,89,0,1
COVID19,Hungary,85,2,3
COVID19,Jordan,85,1,0
COVID19,Brunei,78,1,0
COVID19,Morocco,77,1,3
COVID19,Andorra,75,1,0
COVID19,Sri Lanka,73,3,0
COVID19,Dominican Republic,72,0,2
COVID19,Albania,70,0,2
COVID19,Belarus,69,5,0
COVID19,North Macedonia,67,1,0
COVID19,Cyprus,67,0,0
COVID19,Moldova,66,1,1
COVID19,Malta,64,2,0
COVID19,Tunisia,54,0,1
COVID19,Cambodia,51,1,0
COVID19,Lithuania,49,1,0
COVID19,Kazakhstan,49,0,3
COVID19,Oman,48,12,0
COVID19,Azerbaijan,44,6,1
COVID19,Georgia,43,1,0
COVID19,Venezuela,42,0,0
COVID19,Burkina Faso,40,0,1
COVID19,New Zealand,39,0,0
COVID19,Senegal,38,2,0
COVID19,Uzbekistan,33,0,0
COVID19,Martinique,32,0,1
COVID19,Ukraine,29,0,3
COVID19,Liechtenstein,28,0,0
COVID19,Afghanistan,24,1,0
COVID19,Honduras,24,0,0
