Key Location,Province/State,Country/Region,Lat,Long,Max of Confirmed,Max of Deaths,Max of Recovered,Death-Rate
", Afghanistan",,Afghanistan,33,65,24,0,1,0.00
", Albania",,Albania,41.1533,20.1683,70,2,0,0.03
", Algeria",,Algeria,28.0339,1.6596,90,11,32,0.12
", Andorra",,Andorra,42.5063,1.5218,75,0,1,0.00
", Angola",,Angola,-11.2027,17.8739,1,0,0,0.00
", Antigua and Barbuda",,Antigua and Barbuda,17.0608,-61.7964,1,0,0,0.00
", Argentina",,Argentina,-38.4161,-63.6167,128,3,3,0.02
", Armenia",,Armenia,40.0691,45.0382,136,0,1,0.00
", Austria",,Austria,47.5162,14.5501,2388,6,9,0.00
", Azerbaijan",,Azerbaijan,40.1431,47.5769,44,1,6,0.02
", Bahamas, The",,"Bahamas, The",25.0343,-77.3963,3,0,0,0.00
", Bahrain",,Bahrain,26.0275,50.55,285,1,100,0.00
", Bangladesh",,Bangladesh,23.685,90.3563,20,1,3,0.05
", Barbados",,Barbados,13.1939,-59.5432,5,0,0,0.00
", Belarus",,Belarus,53.7098,27.9534,69,0,5,0.00
", Belgium",,Belgium,50.8333,4,2257,37,31,0.02
", Benin",,Benin,9.3077,2.3158,2,0,0,0.00
", Bhutan",,Bhutan,27.5142,90.4336,2,0,0,0.00
", Bolivia",,Bolivia,-16.2902,-63.5887,15,0,0,0.00
", Bosnia and Herzegovina",,Bosnia and Herzegovina,43.9159,17.6791,89,0,2,0.00
", Brazil",,Brazil,-14.235,-51.9253,793,11,2,0.01
", Brunei",,Brunei,4.5353,114.7277,78,0,1,0.00
", Bulgaria",,Bulgaria,42.7339,25.4858,127,3,0,0.02
", Burkina Faso",,Burkina Faso,12.2383,-1.5616,40,1,0,0.03
", Cabo Verde",,Cabo Verde,16.5388,-23.0418,1,0,0,0.00
", Cambodia",,Cambodia,11.55,104.9167,51,0,1,0.00
", Cameroon",,Cameroon,3.848,11.5021,20,0,0,0.00
", Central African Republic",,Central African Republic,6.6111,20.9394,3,0,0,0.00
", Chad",,Chad,15.4542,18.7322,1,0,0,0.00
", Chile",,Chile,-35.6751,-71.543,434,0,6,0.00
", Colombia",,Colombia,4.5709,-74.2973,128,0,1,0.00
", Congo (Brazzaville)",,Congo (Brazzaville),-4.0383,21.7587,3,0,0,0.00
", Congo (Kinshasa)",,Congo (Kinshasa),-4.0383,21.7587,18,0,0,0.00
", Costa Rica",,Costa Rica,9.7489,-83.7534,89,1,0,0.01
", Cote d'Ivoire",,Cote d'Ivoire,7.54,-5.5471,9,0,1,0.00
", Croatia",,Croatia,45.1,15.2,128,1,5,0.01
", Cuba",,Cuba,22,-80,16,1,0,0.06
", Cyprus",,Cyprus,35.1264,33.4299,67,0,0,0.00
", Czechia",,Czechia,49.8175,15.473,833,0,4,0.00
", Djibouti",,Djibouti,11.8251,42.5903,1,0,0,0.00
", Dominican Republic",,Dominican Republic,18.7357,-70.1627,72,2,0,0.03
", Ecuador",,Ecuador,-1.8312,-78.1834,367,5,0,0.01
", Egypt",,Egypt,26,30,285,8,39,0.03
", El Salvador",,El Salvador,13.7942,-88.8965,1,0,0,0.00
