Province,Country,Date,Lat,Long,Cumulative number of cases,Number of deaths,Number recovered,Death-Rate
,Australia,6/30/2003,-35.4735,149.0124,5,0,5,0
,Belgium,4/5/2003,50.8333,4,1,0,0,0
,Brazil,7/11/2003,-14.235,-51.9253,1,0,1,0
,Bulgaria,5/16/2003,42.7339,25.4858,1,0,0,0
,Canada,7/11/2003,53.9333,-116.5765,250,38,194,0.152
,China,7/11/2003,22.3,114.2,5327,348,4941,0.065327576
,Colombia,7/11/2003,4.5709,-74.2973,1,0,1,0
,Finland,7/11/2003,64,26,1,0,1,0
,France,7/11/2003,46.2276,2.2137,7,1,6,0.142857143
,Germany,7/11/2003,51,9,10,0,9,0
Hong Kong SAR,China,7/11/2003,22.3,114.2,1755,298,1433,0.16980057
,India,7/11/2003,21,78,3,0,3,0
,Indonesia,7/11/2003,-0.7893,113.9213,2,0,2,0
,Italy,7/11/2003,43,12,4,0,4,0
,Japan,6/26/2003,36,138,1,0,0,0
,Kuwait,7/11/2003,29.5,47.75,1,0,1,0
Macao SAR,China,7/11/2003,22.3,114.2,1,0,1,0
,Malaysia,7/11/2003,2.5,112.5,5,2,3,0.4
,Mongolia,7/11/2003,46.8625,103.8467,9,0,9,0
,New Zealand,7/11/2003,-40.9006,174.886,1,0,1,0
,Philippines,7/11/2003,13,122,14,2,12,0.142857143
,Poland,5/12/2003,51.9194,19.1451,1,0,0,0
,Ireland,7/11/2003,53.1424,-7.6921,1,0,1,0
,"Korea, South",7/11/2003,36,128,3,0,3,0
,Romania,7/11/2003,45.9432,24.9668,1,0,1,0
,Russia,7/11/2003,60,90,1,0,0,0
,Singapore,7/11/2003,1.2833,103.8333,206,32,172,0.155339806
,Slovenia,3/22/2003,46.1512,14.9955,1,0,0,0
,South Africa,7/11/2003,-30.5595,22.9375,1,1,0,1
,Spain,7/11/2003,40,-4,1,0,1,0
,Sweden,7/11/2003,63,16,3,0,3,0
,Switzerland,7/11/2003,46.8182,8.2275,1,0,1,0
Taiwan,China,7/11/2003,22.3,114.2,671,84,507,0.125186289
,Thailand,7/11/2003,15,101,9,2,7,0.222222222
,United Kingdom,7/11/2003,32.3078,-64.7505,4,0,4,0
,US,7/11/2003,32.3182,-86.9023,75,0,67,0
,Vietnam,7/11/2003,16,108,63,5,58,0.079365079
