Country Code,Country,2002,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Aruba,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,L,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGB,British Virgin Islands,..,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,Channel Islands,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,China,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM,Comoros,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,"Congo, Dem. Rep.",L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,"Congo, Rep.",L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIV,Côte d'Ivoire,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,Curaçao,..,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,"Egypt, Arab Rep.",LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,L,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,Eswatini,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,Faeroe Islands,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,"Gambia, The",L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,L,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,..,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,Greenland,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUM,Guam,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.",LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN,Isle of Man,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep.",H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKX,Kosovo,..,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyz Republic,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,UM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,"Macao SAR, China",H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,Marshall Islands,LM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,UM,UM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",LM,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,L,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
